,Word,Reading,Meaning
1516,世帯,"せたい, しょたい","household, home, family, housekeeping"
1518,世の中,よのなか,"society, the world, the times"
1519,世間,せけん,"world, society"
1520,安全,あんぜん,safety; security
1521,安保,あんぽ,"US-Japan Security Treaty, safety, security"
1522,安全保障,あんぜんほしょう,"security guarantee (e.g. military security, network security, etc.)"
1523,安定,あんてい,"stability, equilibrium"
1524,不安,ふあん,"anxiety, uneasiness, insecurity, suspense"
1525,慰安,いあん,"solace, relaxation"
1526,安打,あんだ,safe hit (baseball)
1527,治安,ちあん,public order
1529,不安定,ふあんてい,"instability, insecurity, crankiness"
1530,楽しみ,たのしみ,"enjoyment, pleasure, diversion, amusement, hobby; anticipation, looking forward to"
1532,楽,らく,"comfort, ease"
1533,楽器,がっき,musical instrument
1534,倶楽部,"くらぶ, クラブ","club, fraternity, sorority, clubhouse"
1535,娯楽,ごらく,"pleasure, amusement"
1536,能楽,のうがく,Noh play
1537,楽観,らっかん,optimism
1538,楽しい,たのしい,"enjoyable, fun"
1539,楽しむ,たのしむ,to enjoy oneself
1540,参院,さんいん,House of Councillors
1541,衆院,しゅういん,lower house of the Diet
1542,病院,びょういん,hospital
1544,上院,じょういん,"Upper House, Senate, Lords"
1545,学院,がくいん,"institute, academy"
1546,大学院,だいがくいん,graduate school
1547,入院,にゅういん,"hospitalization, hospitalisation"
1548,両院,りょういん,both Houses of Parliament
1549,院長,いんちょう,director
1550,支店,してん,branch store (office)
1553,店舗,てんぽ,"shop, store"
1554,商店,しょうてん,"shop, small store, business, firm"
1555,店頭,てんとう,"shop front, counter, shop, over-the-counter (financial)"
1556,本店,ほんてん,head office
1557,支店長,してんちょう,"branch manager, manager of a branch office"
1558,代理店,だいりてん,"agent, agency"
1559,店員,てんいん,"shop assistant, employee, clerk, salesperson"
1562,政界,せいかい,political world
1563,財界,ざいかい,financial world
1564,限界,げんかい,"limit, bound"
1566,経済界,けいざいかい,"economic world, financial circles"
1567,産業界,さんぎょうかい,the industrial world
1568,世界一,せかいいち,best in the world
1569,境界,きょうかい,boundary
1570,親,おや,"parent, parents; dealer (in cards); founder; (pet) owner"
1573,両親,"りょうしん, ふたおや","parents, both parents"
1574,親子,"おやこ, しんし",parent and child
1575,親方,おやかた,master; coach in professional sumo
1576,親しむ,したしむ,"to be intimate with, to befriend"
1577,親類,しんるい,"relation, kin"
1578,親善,しんぜん,friendship
1579,肉親,にくしん,"blood relationship, blood relative"
1580,重さ,おもさ,weight
1581,重要,じゅうよう,"important, momentous, essential, principal, major"
1582,重大,じゅうだい,"serious, important, significant, grave, weighty"
1583,重み,おもみ,"importance, weight, dignity, emphasis"
1584,貴重,きちょう,"precious, valuable"
1585,重ねる,かさねる,"to pile up, to put something on another, to heap up, to add, to repeat"
1586,重視,じゅうし,"importance, stress, serious consideration"
1587,重点,じゅうてん,"important point, lay stress on, colon, emphasis"
1588,慎重,しんちょう,"discretion, prudence, caution, care"
1589,体重,たいじゅう,one's body weight
1590,集める,あつめる,"to collect, to assemble, to gather"
1591,集会,しゅうかい,"meeting, assembly"
1592,集団,しゅうだん,"group, mass"
1593,編集,へんしゅう,"editing, compilation, editorial (e.g. committee)"
1595,募集,ぼしゅう,"recruiting, taking applications"
1596,集まり,あつまり,"gathering, meeting, assembly, collection"
1597,収集,しゅうしゅう,"gathering up, collection, accumulation"
1598,集,しゅう,"collection, compilation"
1599,特集,とくしゅう,"feature (e.g. newspaper), special edition, report"
1600,人物,じんぶつ,"character, personality, person, man, personage, talented man"
1602,建物,たてもの,building
1603,物価,ぶっか,"prices of commodities, prices (in general), cost-of-living"
1605,物質,ぶっしつ,"material, substance"
1606,植物,しょくぶつ,"plant, vegetation"
1607,生物,せいぶつ,"living things, creature"
1608,博物館,はくぶつかん,museum
1609,物資,ぶっし,"goods, materials"
1610,使わす,つかわす,"to send, to dispatch, to despatch"
1611,使う,つかう,"to use (a thing, method, etc.), to make use of, to put to use; to use (a person, animal, puppet, etc.), to employ, to handle, to manage, to manipulate; to use (time, money, etc.), to spend, to consume; to use (language), to speak; to take (one's lunch), to circulate (bad money)"
1613,大使,たいし,ambassador
1614,行使,こうし,"use, exercise"
1615,大使館,たいしかん,embassy
1616,使い,つかい,"errand, message, messenger, bearer, use, usage, trainer, tamer, mission, familiar spirit, going as envoy"
1617,使途,しと,"purpose for which money is spent, the way money is spent"
1618,特使,とくし,special envoy
1619,労使,ろうし,"labour and management, labor and management"
1621,商品,しょうひん,"commodity, article of commerce, goods, stock, merchandise"
1622,製品,せいひん,"manufactured goods, finished goods, product"
1624,部品,ぶひん,"parts, accessories"
1625,医薬品,いやくひん,medical supplies
1626,品質,ひんしつ,(material) quality
1627,用品,ようひん,"articles, supplies, parts"
1628,品種,ひんしゅ,"kind (of goods), brand; (taxonomical) form; breed, cultivar"
1630,死,し,"death, decease; death penalty (by strangulation or decapitation)"
1631,死者,ししゃ,"casualty, deceased"
1632,脳死,のうし,brain death
1633,死亡,しぼう,"death, mortality"
1635,死去,しきょ,death
1636,死刑,しけい,"death penalty, capital punishment"
1637,必死,ひっし,"frantic, desperate; inevitable death; brinkmate (inevitable checkmate) (shogi)"
1638,死後,しご,after death
1639,死体,したい,"dead body, corpse, cadaver"
1641,始まり,はじまり,"origin, beginning"
1642,終始,しゅうし,"beginning and end, from beginning to end, doing a thing from beginning to end; consistently, the whole time"
1643,始める,はじめる,"to start, to begin, to commence, to initiate, to originate; to open (e.g. a store), to start up, to establish (business. etc.); to start (doing something), to begin to ..."
1644,始め,はじめ,"beginning, start, origin"
1645,年始,ねんし,"New Year's call, beginning of the year, New Year's greetings"
1646,始末,しまつ,"management, dealing, settlement; cleaning up, getting rid of; end result (usu. bad)"
1647,原始,げんし,"origin, primeval"
1648,始発,しはつ,first train
1649,手始め,てはじめ,outset
1650,運,うん,"fortune, luck"
1651,運ぶ,はこぶ,"to carry, to transport, to move, to convey; to come, to go; to wield (a tool, etc.), to use; to go (well, etc.), to proceed, to progress"
1653,運営,うんえい,"management, administration, operation"
1654,運転,うんてん,"operation, motion, driving"
1655,運輸,うんゆ,transportation
1656,運輸省,うんゆしょう,Ministry of Transport
1658,運び,はこび,"progress, pace, carriage, step, stage"
1659,運転手,うんてんしゅ,"driver, chauffeur"
1660,終わり,おわり,the end
1661,最終,さいしゅう,"last, final, closing"
1662,終える,おえる,to finish
1663,終結,しゅうけつ,"end, close"
1664,最終的,さいしゅうてき,finally
1665,終値,おわりね,"closing price (stock exchange, etc.)"
1666,終了後,しゅうりょうご,after the end (of something)
1667,終戦,しゅうせん,"end of war, cessation of hostilities"
1668,終日,"しゅうじつ, ひねもす, ひめもす, ひもすがら","all day, for a whole day"
1669,終盤,しゅうばん,"endgame, final stage"
1670,答え,"こたえ, いらえ","response, reply, answer, solution"
1671,回答,かいとう,"reply, answer"
1672,答申,とうしん,"report, reply, findings"
1673,答弁,とうべん,"response, reply, answer, defence, defense"
1674,応答,おうとう,"reply, answer, response"
1675,解答,かいとう,"answer, solution"
1676,答案,とうあん,"examination paper, examination script"
1677,返答,へんとう,reply
1678,問答,もんどう,"questions and answers, dialogue"
1679,贈答,ぞうとう,exchange of presents
1680,夜,"よる, よ","evening, night"
1681,深夜,しんや,late at night
1682,日夜,にちや,"day and night, always"
1683,夜間,やかん,"at night, nighttime"
1684,前夜,ぜんや,"last night, the previous night"
1685,同夜,どうや,"the same night, that night"
1686,一夜,"いちや, ひとや, ひとよ","one night, all night, overnight, one evening"
1687,徹夜,てつや,"all night, all-night vigil, sleepless night"
1688,夜中,よなか,"midnight, dead of night"
1689,夜明け,よあけ,"dawn, daybreak"
1690,住,じゅう,"dwelling, living"
1691,住宅,じゅうたく,"residence, housing, residential building"
1692,住民,じゅうみん,"citizens, inhabitants, residents, population"
1693,住所,じゅうしょ,"address (e.g. of house), residence, domicile"
1694,在住,ざいじゅう,resident
1695,居住,きょじゅう,residence
1696,住み心地,すみごこち,comfort (in living place)
1697,先住,せんじゅう,previous priest or resident
1698,住宅地,じゅうたくち,"housing district, residential district"
1700,帰り,かえり,"return, coming back"
1701,帰国,きこく,return to one's country
1702,復帰,ふっき,"return, comeback, reinstatement; carriage return, CR"
1703,帰還,きかん,"repatriation, return; (electrical) feedback"
1704,帰宅,きたく,returning home
1705,帰属,きぞく,belonging to
1706,回帰,かいき,"return (to), revolution, recurrence, recursion, comeback, revival"
1707,里帰り,さとがえり,"returning home, visiting one's parents, new bride's first visit to parents"
1708,帰省,きせい,"homecoming, returning home"
1709,帰途,きと,"on the way back, returning"
1710,写真,しゃしん,"photograph, photo; movie"
1711,真の,しんの,"true, real, genuine, proper, utter"
1712,真相,しんそう,"truth, real situation"
1713,真実,"しんじつ, さな, さね","truth, reality"
1714,真ん中,"まんなか, まなか","middle, centre, center, mid-way"
1715,真意,しんい,"real intention, true motive, true meaning"
1716,写真集,しゃしんしゅう,"collection of photographs, photoalbum"
1717,真理,しんり,truth
1718,真っ暗,まっくら,"total darkness, pitch dark; bleak future, poor prospects"
1719,真珠湾,しんじゅわん,Pearl Harbor
1720,古,いにしえ,"antiquity, ancient times"
1721,古代,こだい,ancient times
1722,古典,こてん,"old book, classics, classic"
1723,古墳,こふん,ancient (mound) tomb
1725,古い,ふるい,"old (not person), aged, ancient, antiquated, stale, threadbare, outmoded, obsolete article"
1726,中古,"ちゅうこ, ちゅうぶる","used, second-hand, old; Middle Ages"
1727,古書,こしょ,"old book, rare book"
1728,最古,さいこ,the oldest
1729,中古車,ちゅうこしゃ,"used car, secondhand car"
1730,有,ゆう,"existence; possession, having; limited company"
1731,有効,ゆうこう,"validity, legality, availability, effectiveness"
1733,有権者,ゆうけんしゃ,"voter, constituent, (electoral) franchise-holder, (the) electorate, eligible voters"
1735,保有,ほゆう,"possession, retention, maintenance"
1736,有利,ゆうり,"advantageous, better, profitable, lucrative"
